numero,votos_nominais,situacao,nome,nome_urna,sexo,data_nasc,destino_voto,numero_partido
27994,55,Suplente,JOSIANE LUCAS ROSA,JOSIANE ROSA,F,09/09/1994,Válido,27
27000,639,Suplente,RENATO KILL HELKER,RENATO KILL (BARATA),M,28/01/1971,Válido,27
27300,65,Suplente,SEBASTIÃO VITORINO FILHO,SEBASTIÃO VITORINO,M,16/06/1956,Válido,27
27800,2756,Eleito,SEBASTIÃO CAETANO NETO,NETINHO,M,06/03/1978,Válido,27
27019,57,Suplente,MAURICIO TRUGILHO,PROFESSOR MAURICIO TRUGILHO,M,13/02/1980,Válido,27
27010,110,Suplente,ANTONIO SERGIO PEREIRA,AGENTE PEREIRA,M,17/05/1971,Válido,27
27012,27,Suplente,MARCELO SANTOS OLIVEIRA,MARCELO BROA,M,28/01/1984,Válido,27
27160,17,Suplente,ANDREIA PEREIRA MARTINS,ANDREIA MARTINS,F,26/08/1984,Válido,27
27555,429,Suplente,LEOMAR JOSE DE OLIVEIRA,PR LEOMAR,M,02/03/1973,Válido,27
27111,17,Suplente,EDICLÉIA ANTUNES PORTO,TIA DIDA,F,10/09/1968,Válido,27
27900,124,Suplente,ELIAS GUIMARÃES MOTTA,DR ELIAS MOTTA,M,05/04/1981,Válido,27
27100,235,Suplente,LUCIO LIMA EFFGEN,LUCIO LIMA,M,20/09/1985,Válido,27
27700,67,Suplente,AGNALDO CAETANO PEREIRA,AGNALDO DO BAR,M,07/12/1980,Válido,27
27222,320,Suplente,JOSCIMAR SANTANA,SANTANA,M,19/12/1976,Válido,27
27130,20,Suplente,ANGELINA KEILA DA SILVA,KEILA,F,08/01/1982,Válido,27
27400,59,Suplente,ANTONIO DOS REIS MIRANDA,TONINHO MIRANDA,M,16/06/1956,Válido,27
27077,139,Suplente,WESLEY MONTEIRO GUIMARÃES,WESLEY MONTEIRO,M,05/03/1977,Válido,27
27123,2516,Suplente,RONILDO ANDRADE INACIO,RONILDO ANDRADE,M,11/02/1968,Válido,27
27125,39,Suplente,CREIDES GONÇALVES VALVERDE COSTA,CREIDES COSTA,F,08/10/1962,Válido,27
27777,524,Suplente,ELIAS DE AZEVEDO ETIENE,ELIAS ETIENE,M,03/05/1963,Válido,27
27500,51,Suplente,EVANILZA PEREIRA DE SOUZA ROSA,EVANILZA ROSA,F,24/01/1974,Válido,27
27888,250,Suplente,ANTONIO ADELAR DE SOUSA FILHO,ANTONIO ADELAR ,M,01/12/1952,Válido,27
27015,31,Suplente,MARIA DE FATIMA COUTINHO,MARIA COUTINHO,F,25/04/1963,Válido,27
27007,18,Suplente,CLEONICE FERREIRA PINHEIRO,TIA NICE,F,27/08/1960,Válido,27
27192,474,Suplente,RONALDO OLIVEIRA SANTOS,RONALDO OLIVEIRA,M,25/02/1972,Válido,27
27333,65,Suplente,ISAAC TEIXEIRA ROCHA,ISAAC ROCHA,M,29/11/1985,Válido,27
27027,457,Suplente,DOUGLAS DA SILVA SOUZA,DOUGLAS SILVA,M,18/06/1975,Válido,27
70001,62,Suplente,JULIERME DAS VIRGENS ALVES,JULIO DA OFICINA,M,26/02/1975,Válido,70
70000,463,Suplente,MARCELO DAVID,MARCELO DAVID,M,23/11/1967,Válido,70
70789,41,Suplente,ROBSON BARCELOS GLASSNER,ROBINHO BARCELOS,M,16/04/1962,Válido,70
70033,43,Suplente,DENILTON BATISTA LEITE,DENILTON LEITE ,M,30/04/1978,Válido,70
